timestamp,curr_patrol,curr_goal,pose_x,pose_y,m5
0.18,0,0,1.3679514140172924,-3.7976369167772885,5
0.18,0,0,1.3679514140172924,-3.7976369167772885,-61
0.18,0,0,1.3679514140172924,-3.7976369167772885,-60
0.18,0,0,1.3679514140172924,-3.7976369167772885,-56
0.18,0,0,1.3679514140172924,-3.7976369167772885,-61
0.18,0,0,1.3679514140172924,-3.7976369167772885,-61
0.18,0,0,1.3679514140172924,-3.7976369167772885,-61
0.18,0,0,1.3679514140172924,-3.7976369167772885,-61
0.18,0,0,1.3679514140172924,-3.7976369167772885,-62
0.18,0,0,1.3679514140172924,-3.7976369167772885,-61
0.18,0,0,1.3679514140172924,-3.7976369167772885,-61
0.18,0,0,1.3679514140172924,-3.7976369167772885,-61
0.2,0,0,1.3679514140172924,-3.7976369167772885,-61
0.26,0,0,1.3679514140172924,-3.7976369167772885,-60
0.33,0,0,1.3679514140172924,-3.7976369167772885,-61
0.39,0,0,1.3679514140172924,-3.7976369167772885,-60
0.45,0,0,1.3679514140172924,-3.7976369167772885,-62
0.51,0,0,1.3679514140172924,-3.7976369167772885,-61
0.57,0,0,1.3679514140172924,-3.7976369167772885,-61
0.63,0,0,1.3679514140172924,-3.7976369167772885,-61
0.7,0,0,1.3679514140172924,-3.7976369167772885,-62
0.76,0,0,1.3679514140172924,-3.7976369167772885,-61
0.82,0,0,1.3679514140172924,-3.7976369167772885,-61
0.88,0,0,1.3679514140172924,-3.7976369167772885,-60
0.94,0,0,1.3679514140172924,-3.7976369167772885,-61
1.0,0,0,1.3679514140172924,-3.7976369167772885,-61
1.06,0,0,1.3679514140172924,-3.7976369167772885,-61
1.13,0,0,1.3679514140172924,-3.7976369167772885,-61
1.19,0,0,1.3679514140172924,-3.7976369167772885,-61
1.25,0,0,1.3679514140172924,-3.7976369167772885,-62
1.31,0,0,1.3679514140172924,-3.7976369167772885,-62
1.37,0,0,1.3679514140172924,-3.7976369167772885,-61
1.43,0,0,1.3679514140172924,-3.7976369167772885,-62
1.5,0,0,1.3679514140172924,-3.7976369167772885,-61
1.56,0,0,1.3679514140172924,-3.7976369167772885,-61
1.62,0,0,1.3679514140172924,-3.7976369167772885,-60
1.68,0,0,1.3679514140172924,-3.7976369167772885,-61
1.74,0,0,1.3679514140172924,-3.7976369167772885,-61
1.8,0,0,1.3679514140172924,-3.7976369167772885,-61
1.87,0,0,1.3679514140172924,-3.7976369167772885,-56
1.93,0,0,1.3679514140172924,-3.7976369167772885,-61
1.99,0,0,1.3679514140172924,-3.7976369167772885,-61
2.05,0,0,1.3679514140172924,-3.7976369167772885,-60
2.11,0,0,1.3679514140172924,-3.7976369167772885,-61
2.17,0,0,1.3679514140172924,-3.7976369167772885,-61
2.23,0,0,1.3679514140172924,-3.7976369167772885,-61
2.3,0,0,1.3679514140172924,-3.7976369167772885,-61
2.36,0,0,1.3679514140172924,-3.7976369167772885,-62
2.42,0,0,1.3679514140172924,-3.7976369167772885,-61
2.48,0,0,1.3679514140172924,-3.7976369167772885,-62
2.54,0,0,1.381115818297343,-3.7993222548794314,-61
2.6,0,0,1.381115818297343,-3.7993222548794314,-60
2.67,0,0,1.381115818297343,-3.7993222548794314,-61
2.73,0,0,1.381115818297343,-3.7993222548794314,-61
2.79,0,0,1.381115818297343,-3.7993222548794314,-61
2.85,0,0,1.381115818297343,-3.7993222548794314,-61
2.91,0,0,1.381115818297343,-3.7993222548794314,-61
2.97,0,0,1.381115818297343,-3.7993222548794314,-61
3.04,0,0,1.381115818297343,-3.7993222548794314,-61
3.1,0,0,1.381115818297343,-3.7993222548794314,-62
3.16,0,0,1.381115818297343,-3.7993222548794314,-61
3.22,0,0,1.381115818297343,-3.7993222548794314,-61
3.28,0,0,1.381115818297343,-3.7993222548794314,-62
3.34,0,0,1.381115818297343,-3.7993222548794314,-61
3.41,0,0,1.381115818297343,-3.7993222548794314,-60
3.47,0,0,1.381115818297343,-3.7993222548794314,-62
3.53,0,0,1.381115818297343,-3.7993222548794314,-61
3.59,0,0,1.381115818297343,-3.7993222548794314,-61
3.65,0,0,1.381115818297343,-3.7993222548794314,-61
3.71,0,0,1.381115818297343,-3.7993222548794314,-62
3.77,0,0,1.381115818297343,-3.7993222548794314,-61
3.84,0,0,1.381115818297343,-3.7993222548794314,-62
3.9,0,0,1.381115818297343,-3.7993222548794314,-61
3.96,0,0,1.381115818297343,-3.7993222548794314,-62
4.02,0,0,1.381115818297343,-3.7993222548794314,-58
4.08,0,0,1.381115818297343,-3.7993222548794314,-61
4.14,0,0,1.381115818297343,-3.7993222548794314,-61
4.21,0,0,1.381115818297343,-3.7993222548794314,-59
4.27,0,0,1.381115818297343,-3.7993222548794314,-61
4.33,0,0,1.381115818297343,-3.7993222548794314,-61
4.39,0,0,1.381115818297343,-3.7993222548794314,-61
4.45,0,0,1.381115818297343,-3.7993222548794314,-61
4.51,0,0,1.381115818297343,-3.7993222548794314,-62
4.57,0,0,1.381115818297343,-3.7993222548794314,-64
4.64,0,0,1.381115818297343,-3.7993222548794314,-62
4.7,0,0,1.381115818297343,-3.7993222548794314,-62
4.76,0,0,1.381115818297343,-3.7993222548794314,-62
4.82,0,0,1.381115818297343,-3.7993222548794314,-60
4.88,0,0,1.381115818297343,-3.7993222548794314,-62
4.94,0,0,1.381115818297343,-3.7993222548794314,-61
5.01,0,0,1.381115818297343,-3.7993222548794314,-61
5.07,0,0,1.381115818297343,-3.7993222548794314,-61
5.13,0,0,1.381115818297343,-3.7993222548794314,-61
5.19,0,0,1.381115818297343,-3.7993222548794314,-60
5.25,0,0,1.381115818297343,-3.7993222548794314,-55
5.31,0,0,1.381115818297343,-3.7993222548794314,-58
5.38,0,0,1.381115818297343,-3.7993222548794314,-58
5.44,0,0,1.381115818297343,-3.7993222548794314,-58
5.5,0,0,1.381115818297343,-3.7993222548794314,-57
5.56,0,0,1.381115818297343,-3.7993222548794314,-60
5.62,0,0,1.381115818297343,-3.7993222548794314,-60
5.68,0,0,1.381115818297343,-3.7993222548794314,-64
5.74,0,0,1.381115818297343,-3.7993222548794314,-59
5.81,0,0,1.381115818297343,-3.7993222548794314,-68
5.87,0,0,1.381115818297343,-3.7993222548794314,-67
5.93,0,0,1.381115818297343,-3.7993222548794314,-69
5.99,0,0,1.381115818297343,-3.7993222548794314,-66
6.05,0,0,1.381115818297343,-3.7993222548794314,-67
6.11,0,0,1.381115818297343,-3.7993222548794314,-68
6.18,0,0,1.381115818297343,-3.7993222548794314,-71
6.24,0,0,1.381115818297343,-3.7993222548794314,-71
6.3,0,0,1.381115818297343,-3.7993222548794314,-67
6.36,0,0,1.6082622063792757,-3.7697904449746678,-64
6.42,0,0,1.6082622063792757,-3.7697904449746678,-64
6.48,0,0,1.6082622063792757,-3.7697904449746678,-61
6.55,0,0,1.6082622063792757,-3.7697904449746678,-61
6.61,0,0,1.6082622063792757,-3.7697904449746678,-60
6.67,0,0,1.6082622063792757,-3.7697904449746678,-62
6.73,0,0,1.6082622063792757,-3.7697904449746678,-60
6.79,0,0,1.6082622063792757,-3.7697904449746678,-62
6.85,0,0,1.6082622063792757,-3.7697904449746678,-62
6.92,0,0,1.6082622063792757,-3.7697904449746678,-64
