timestamp,curr_patrol,curr_goal,pose_x,pose_y,pose_a,xbee
0.03,0,0,1.383188701115539,-3.799314455572383,-0.0015954537024958446,-46
0.14,0,0,1.3833635679212153,-3.799314829537059,-0.0028144962005591033,-46
0.25,0,0,1.3834099340411992,-3.7993149631245298,-0.0029061019688675174,-46
0.36,0,0,1.3834373872808747,-3.7993150480126583,-0.0031333449305400796,-46
0.48,0,0,1.3834461853824478,-3.799315080563478,-0.00326634004473681,-46
0.59,0,0,1.3834643185035527,-3.7993151418061153,-0.003304587647038165,-46
0.7,0,0,1.3834838795568467,-3.799315208556769,-0.003471297777062931,-46
0.8,0,0,1.383508725362904,-3.799315295219046,-0.003547362469692424,-46
0.93,0,0,1.3835526387670902,-3.799315456718525,-0.003649901836572194,-46
1.04,0,0,1.3835459012551483,-3.7993154338189874,-0.0038315767461910696,-46
1.16,0,0,1.3835824662298057,-3.799315577377105,-0.0039498859019731995,-46
1.27,0,0,1.383614960292601,-3.799315710490215,-0.004136879830716797,-46
1.38,0,0,1.3836337825002152,-3.799315792647395,-0.0042743896179911756,-46
1.49,0,0,1.383642765007435,-3.799315833852431,-0.004352611662210901,-46
1.61,0,0,1.383664430948827,-3.7993159307909243,-0.004555164363372764,-46
1.72,0,0,1.3837071409324622,-3.799316130571882,-0.004664210430748169,-46
1.83,0,0,1.383707785357131,-3.799316135049432,-0.004844206401484894,-46
1.95,0,0,1.383732509277975,-3.7993162567930687,-0.00502239978191248,-46
2.06,0,0,1.3837663775438418,-3.799316428432247,-0.0050828376301044675,-46
2.18,0,0,1.3837919614526981,-3.7993165636305886,-0.005294535118116212,-46
2.29,0,0,1.3838052884147327,-3.799316636349562,-0.005394999974689665,-46
2.4,0,0,1.3838195377216391,-3.79931671679782,-0.005594450314512957,-47
2.51,0,0,1.3838325161375813,-3.7993167897136564,-0.005662625280142743,-46
2.62,0,0,1.3838580970622925,-3.7993169364162935,-0.005731283360568703,-46
2.74,0,0,1.3838878593531927,-3.7993171122340796,-0.005974761441229004,-46
2.85,0,0,1.383894048235991,-3.799317149284608,-0.0060516608953111615,-46
2.96,0,0,1.3839338323766468,-3.7993173916462286,-0.006109557683614539,-46
3.07,0,0,1.3839642125247975,-3.7993175796412517,-0.006188106847333283,-46
3.19,0,0,1.3839831799589182,-3.7993177022031794,-0.006387602971533135,-46
3.3,0,0,1.3839924972740942,-3.7993177639184688,-0.006541688946629786,-46
3.42,0,0,1.3840107080335813,-3.7993178839283384,-0.0066399390586622704,-46
3.53,0,0,1.3840361103486698,-3.7993180546815326,-0.006723132151250466,-47
3.64,0,0,1.384075269371514,-3.799318324387433,-0.006975238197521747,-46
3.75,0,0,1.3840775174709736,-3.799318340363728,-0.0070762791253876,-46
3.86,0,0,1.3841163106738115,-3.799318615921289,-0.007095688639278711,-47
3.98,0,0,1.3841400812258602,-3.7993187890574154,-0.007306263185381897,-46
4.09,0,0,1.3841545221617853,-3.799318896912346,-0.0074018900485852464,-46
4.21,0,0,1.3841711695774945,-3.7993190234847902,-0.007606504424398925,-47
4.32,0,0,1.3841841203409613,-3.7993191220171108,-0.0076401955633161244,-47
4.43,0,0,1.3842117408153571,-3.799319335634981,-0.007735226088748044,-47
4.54,0,0,1.3842562034420716,-3.7993196872792914,-0.00800753977561349,-47
4.66,0,0,1.3842561363911174,-3.7993196872136554,-0.008092100974280418,-47
4.77,0,0,1.384287477082502,-3.799319942549131,-0.008165346098853679,-47
4.88,0,0,1.3843100280147447,-3.7993201319526912,-0.008434091266490966,-47
4.99,0,0,1.384341299110295,-3.7993203981003703,-0.008560315072745286,-47
5.11,0,0,1.384396097205223,-3.7993208738128375,-0.008719135697375755,-47
5.22,0,0,1.3843815652858114,-3.7993207521782715,-0.00878445986580198,-47
5.32,0,0,1.384411096800313,-3.7993210161395243,-0.00889355633537051,-47
5.44,0,0,1.384429810647007,-3.79932118561131,-0.009041958040108815,-46
5.56,0,0,1.3844593491579489,-3.7993214544006184,-0.009115815665084827,-47
5.67,0,0,1.384469162981804,-3.7993215494476065,-0.00922079062460383,-47
5.78,0,0,1.384487859518418,-3.7993217253530385,-0.00945347136215049,-47
5.89,0,0,1.384519984641314,-3.7993220297402717,-0.009525717394540745,-47
