timestamp,curr_patrol,curr_goal,pose_x,pose_y,pose_a,rssi,rssi_ewma
0.01,0,0,1.4568257631252857,-3.8151823673722607,-0.41851935148421604,-63,-63
0.09,0,0,1.4568257631252857,-3.8151823673722607,-0.41851935148421604,-63,-63
0.2,0,0,1.4568257631252857,-3.8151823673722607,-0.41851935148421604,-62,-62
0.32,0,0,1.4568257631252857,-3.8151823673722607,-0.41851935148421604,-63,-63
0.41,0,0,1.4568257631252857,-3.8151823673722607,-0.41851935148421604,-63,-63
0.54,0,0,1.4568257631252857,-3.8151823673722607,-0.41851935148421604,-61,-61
0.65,0,0,1.4568257631252857,-3.8151823673722607,-0.41851935148421604,-64,-64
0.76,0,0,1.4568257631252857,-3.8151823673722607,-0.41851935148421604,-64,-64
0.86,0,0,1.4568257631252857,-3.8151823673722607,-0.41851935148421604,-64,-64
1.0,0,0,1.4568257631252857,-3.8151823673722607,-0.41851935148421604,-62,-62
1.1,0,0,1.4568257631252857,-3.8151823673722607,-0.41851935148421604,-62,-62.9
1.22,0,0,1.4568257631252857,-3.8151823673722607,-0.41851935148421604,-62,-62.882
1.33,0,0,1.4568257631252857,-3.8151823673722607,-0.41851935148421604,-62,-62.86436
1.44,0,0,1.4568257631252857,-3.8151823673722607,-0.41851935148421604,-62,-62.8470728
1.54,0,0,1.4568257631252857,-3.8151823673722607,-0.41851935148421604,-62,-62.830131344
1.67,0,0,1.4568257631252857,-3.8151823673722607,-0.41851935148421604,-62,-62.81352871712
1.78,0,0,1.4568257631252857,-3.8151823673722607,-0.41851935148421604,-63,-62.8172581427776
1.89,0,0,1.4568257631252857,-3.8151823673722607,-0.41851935148421604,-63,-62.82091297992204
2.01,0,0,1.4568257631252857,-3.8151823673722607,-0.41851935148421604,-63,-62.8244947203236
2.12,0,0,1.4568257631252857,-3.8151823673722607,-0.41851935148421604,-63,-62.82800482591713
2.24,0,0,1.4568257631252857,-3.8151823673722607,-0.41851935148421604,-62,-62.81144472939879
2.34,0,0,1.4568257631252857,-3.8151823673722607,-0.41851935148421604,-63,-62.81521583481081
2.46,0,0,1.4568257631252857,-3.8151823673722607,-0.41851935148421604,-64,-62.83891151811459
2.57,0,0,1.4568257631252857,-3.8151823673722607,-0.41851935148421604,-64,-62.8621332877523
2.67,0,0,1.4568257631252857,-3.8151823673722607,-0.41851935148421604,-64,-62.88489062199726
2.8,0,0,1.4568257631252857,-3.8151823673722607,-0.41851935148421604,-63,-62.88719280955731
2.9,0,0,1.4568257631252857,-3.8151823673722607,-0.41851935148421604,-63,-62.88944895336616
3.0,0,0,1.4568257631252857,-3.8151823673722607,-0.41851935148421604,-63,-62.89165997429884
3.1,0,0,1.4568257631252857,-3.8151823673722607,-0.41851935148421604,-63,-62.89382677481286
3.15,0,0,1.4568257631252857,-3.8151823673722607,-0.41851935148421604,-63,-62.8959502393166
3.25,0,0,1.4568257631252857,-3.8151823673722607,-0.41851935148421604,-63,-62.898031234530265
3.36,0,0,1.4568257631252857,-3.8151823673722607,-0.41851935148421604,-63,-62.90007060983966
3.47,0,0,1.4568257631252857,-3.8151823673722607,-0.41851935148421604,-64,-62.92206919764286
3.58,0,0,1.4568257631252857,-3.8151823673722607,-0.41851935148421604,-64,-62.94362781369001
3.68,0,0,1.4568257631252857,-3.8151823673722607,-0.41851935148421604,-64,-62.96475525741621
3.77,0,0,1.4568257631252857,-3.8151823673722607,-0.41851935148421604,-64,-62.98546015226788
3.88,0,0,1.4568257631252857,-3.8151823673722607,-0.41851935148421604,-64,-63.005750949222524
3.98,0,0,1.4568257631252857,-3.8151823673722607,-0.41851935148421604,-64,-63.025635930238074
4.05,0,0,1.4568257631252857,-3.8151823673722607,-0.41851935148421604,-63,-63.02512321163331
4.15,0,0,1.4568257631252857,-3.8151823673722607,-0.41851935148421604,-63,-63.02462074740064
4.27,0,0,1.4568257631252857,-3.8151823673722607,-0.41851935148421604,-63,-63.02412833245263
4.38,0,0,1.4568257631252857,-3.8151823673722607,-0.41851935148421604,-63,-63.02364576580357
4.49,0,0,1.4568257631252857,-3.8151823673722607,-0.41851935148421604,-63,-63.0231728504875
4.59,0,0,1.4568257631252857,-3.8151823673722607,-0.41851935148421604,-63,-63.02270939347775
4.72,0,0,1.4568257631252857,-3.8151823673722607,-0.41851935148421604,-63,-63.02225520560819
4.82,0,0,1.4568257631252857,-3.8151823673722607,-0.41851935148421604,-63,-63.02181010149602
4.94,0,0,1.4568257631252857,-3.8151823673722607,-0.41851935148421604,-62,-63.0013738994661
5.06,0,0,1.4568257631252857,-3.8151823673722607,-0.41851935148421604,-62,-62.98134642147678
5.17,0,0,1.4568257631252857,-3.8151823673722607,-0.41851935148421604,-63,-62.981719493047244
5.28,0,0,1.4568257631252857,-3.8151823673722607,-0.41851935148421604,-63,-62.98208510318629
5.39,0,0,1.4568257631252857,-3.8151823673722607,-0.41851935148421604,-64,-63.00244340112257
5.51,0,0,1.4568257631252857,-3.8151823673722607,-0.41851935148421604,-63,-63.002394533100116
5.62,0,0,1.4568257631252857,-3.8151823673722607,-0.41851935148421604,-63,-63.00234664243811
5.73,0,0,1.4568257631252857,-3.8151823673722607,-0.41851935148421604,-64,-63.02229970958935
5.85,0,0,1.4568257631252857,-3.8151823673722607,-0.41851935148421604,-64,-63.04185371539756
